city,state,postal_code,region
Richardson,Texas,75080,Central
Houston,Texas,77041,Central
Naperville,Illinois,60540,Central
Los Angeles,California,90049,West
Melbourne,Florida,32935,South
Eagan,Minnesota,55122,Central
Westland,Michigan,48185,Central
Dover,Delaware,19901,East
New Albany,Indiana,47150,Central
New York City,New York,10024,East
Troy,New York,12180,East
Los Angeles,California,90004,West
Chicago,Illinois,60610,Central
Gilbert,Arizona,85234,West
Springfield,Virginia,22153,South
New York City,New York,10009,East
Memphis,Tennessee,38109,South
Houston,Texas,77041,Central
Decatur,Alabama,35601,South
San Francisco,California,94122,West
Durham,North Carolina,27707,South
Chicago,Illinois,60623,Central
Rochester,Minnesota,55901,Central
Houston,Texas,77095,Central
Los Angeles,California,90036,West
Minneapolis,Minnesota,55407,Central
Portland,Oregon,97206,West
New York City,New York,10009,East
San Francisco,California,94122,West
Saint Paul,Minnesota,55106,Central
Chicago,Illinois,60610,Central
Rochester,Minnesota,55901,Central
Aurora,Colorado,80013,West
Charlotte,North Carolina,28205,South
Orland Park,Illinois,60462,Central
New York City,New York,10035,East
Urbandale,Iowa,50322,Central
Columbus,Ohio,43229,East
Seattle,Washington,98103,West
Bristol,Tennessee,37620,South
Wilmington,Delaware,19805,East
Houston,Texas,77041,Central
Bloomington,Illinois,61701,Central
Phoenix,Arizona,85023,West
Los Angeles,California,90004,West
Columbus,Ohio,43229,East
Roseville,California,95661,West
Philadelphia,Pennsylvania,19140,East
San Francisco,California,94122,West
Independence,Missouri,64055,Central
Pasadena,California,91104,West
Newark,Ohio,43055,East
Franklin,Wisconsin,53132,Central
Scottsdale,Arizona,85254,West
San Jose,California,95123,West
Seattle,Washington,98105,West
Seattle,Washington,98115,West
Edmond,Oklahoma,73034,Central
Los Angeles,California,90045,West
Philadelphia,Pennsylvania,19134,East
Carlsbad,New Mexico,88220,West
Seattle,Washington,98115,West
San Antonio,Texas,78207,Central
Los Angeles,California,90004,West
Chicago,Illinois,60623,Central
Houston,Texas,77036,Central
New York City,New York,10009,East
Decatur,Illinois,62521,Central
Monroe,Louisiana,71203,South
Fairfield,Connecticut,6824,East
Los Angeles,California,90032,West
Grand Prairie,Texas,75051,Central
New York City,New York,10035,East
Redlands,California,92374,West
Hamilton,Ohio,45011,East
Westfield,New Jersey,7090,East
Philadelphia,Pennsylvania,19120,East
Akron,Ohio,44312,East
Denver,Colorado,80219,West
Dallas,Texas,75220,Central
Franklin,Tennessee,37064,South
Whittier,California,90604,West
Saginaw,Michigan,48601,Central
Dallas,Texas,75220,Central
Medina,Ohio,44256,East
Los Angeles,California,90032,West
Dublin,Ohio,43017,East
Detroit,Michigan,48227,Central
Columbia,Tennessee,38401,South
Charlotte,North Carolina,28205,South
Santa Clara,California,95051,West
Chicago,Illinois,60610,Central
Lakeville,Minnesota,55044,Central
San Francisco,California,94109,West
San Diego,California,92037,West
New York City,New York,10024,East
Chicago,Illinois,60623,Central
New York City,New York,10009,East
Pasadena,Texas,77506,Central
Houston,Texas,77036,Central
Chicago,Illinois,60610,Central
Brentwood,California,94513,West
Chapel Hill,North Carolina,27514,South
Cincinnati,Ohio,45231,East
San Francisco,California,94110,West
Inglewood,California,90301,West
Philadelphia,Pennsylvania,19140,East
Los Angeles,California,90004,West
Tamarac,Florida,33319,South
Columbus,Ohio,43229,East
Colorado Springs,Colorado,80906,West
New York City,New York,10024,East
Lakewood,New Jersey,8701,East
Arlington,Virginia,22204,South
Arvada,Colorado,80004,West
Hackensack,New Jersey,7601,East
Saint Petersburg,Florida,33710,South
Philadelphia,Pennsylvania,19143,East
New York City,New York,10024,East
Long Beach,California,90805,West
Hesperia,California,92345,West
Murfreesboro,Tennessee,37130,South
Philadelphia,Pennsylvania,19143,East
Philadelphia,Pennsylvania,19134,East
Los Angeles,California,90045,West
San Francisco,California,94122,West
San Francisco,California,94122,West
Lowell,Massachusetts,1852,East
New York City,New York,10009,East
New York City,New York,10035,East
Columbus,Georgia,31907,South
New York City,New York,10009,East
San Francisco,California,94109,West
Manchester,Connecticut,6040,East
Harlingen,Texas,78550,Central
Tucson,Arizona,85705,West
Quincy,Illinois,62301,Central
Franklin,Massachusetts,2038,East
Houston,Texas,77095,Central
San Francisco,California,94109,West
Taylor,Michigan,48180,Central
Pembroke Pines,Florida,33024,South
Philadelphia,Pennsylvania,19140,East
Cincinnati,Ohio,45231,East
New York City,New York,10009,East
Peoria,Illinois,61604,Central
Las Vegas,Nevada,89115,West
Warwick,Rhode Island,2886,East
Houston,Texas,77036,Central
Miami,Florida,33180,South
New York City,New York,10024,East
San Francisco,California,94110,West
Seattle,Washington,98105,West
Huntington Beach,California,92646,West
Los Angeles,California,90004,West
Lawrence,Massachusetts,1841,East
Jackson,Mississippi,39212,South
New Rochelle,New York,10801,East
San Antonio,Texas,78207,Central
Gastonia,North Carolina,28052,South
Jacksonville,Florida,32216,South
Chicago,Illinois,60623,Central
Houston,Texas,77070,Central
Columbus,Indiana,47201,Central
Auburn,New York,13021,East
Akron,Ohio,44312,East
Concord,California,94521,West
Phoenix,Arizona,85023,West
Park Ridge,Illinois,60068,Central
Lindenhurst,New York,11757,East
San Francisco,California,94110,West
Troy,New York,12180,East
New York City,New York,10024,East
San Diego,California,92024,West
New York City,New York,10024,East
Los Angeles,California,90045,West
Chicago,Illinois,60610,Central
Huntsville,Texas,77340,Central
Rochester,New York,14609,East
Seattle,Washington,98115,West
Memphis,Tennessee,38109,South
Fayetteville,Arkansas,72701,South
Parker,Colorado,80134,West
Atlanta,Georgia,30318,South
Gladstone,Missouri,64118,Central
Los Angeles,California,90049,West
Houston,Texas,77041,Central
Detroit,Michigan,48234,Central
Lawrence,Massachusetts,1841,East
Lakeland,Florida,33801,South
Philadelphia,Pennsylvania,19134,East
Los Angeles,California,90036,West
Los Angeles,California,90032,West
Montgomery,Alabama,36116,South
Mesa,Arizona,85204,West
Chicago,Illinois,60653,Central
Henderson,Kentucky,42420,South
Green Bay,Wisconsin,54302,Central
Springfield,Ohio,45503,East
New York City,New York,10035,East
San Francisco,California,94110,West
Houston,Texas,77070,Central
Wilmington,North Carolina,28403,South
Los Angeles,California,90045,West
San Francisco,California,94110,West
Tampa,Florida,33614,South
Seattle,Washington,98105,West
Los Angeles,California,90008,West
Seattle,Washington,98105,West
New York City,New York,10024,East
Marysville,Washington,98270,West
Long Beach,California,90805,West
Chicago,Illinois,60610,Central
Los Angeles,California,90004,West
Denver,Colorado,80219,West
Richmond,Kentucky,40475,South
Salem,Oregon,97301,West
Laredo,Texas,78041,Central
San Diego,California,92024,West
Philadelphia,Pennsylvania,19134,East
Philadelphia,Pennsylvania,19120,East
Tampa,Florida,33614,South
Philadelphia,Pennsylvania,19134,East
Dallas,Texas,75217,Central
Philadelphia,Pennsylvania,19143,East
Grove City,Ohio,43123,East
New York City,New York,10011,East
Chicago,Illinois,60610,Central
Dearborn,Michigan,48126,Central
New York City,New York,10009,East
Seattle,Washington,98115,West
Aurora,Colorado,80013,West
Warner Robins,Georgia,31088,South
Aurora,Colorado,80013,West
Minneapolis,Minnesota,55407,Central
Mission Viejo,California,92691,West
Rochester Hills,Michigan,48307,Central
Columbus,Indiana,47201,Central
Vancouver,Washington,98661,West
